neighborhood,education_rank
Carrick,1.0
Brookline,2.0
Beechview,3.0
Sheraden,4.0
Squirrel Hill South,5.0
Knoxville,6.0
Brighton Heights,7.0
Homewood North,8.0
East Hills,9.0
Hazelwood,10.0
Crafton Heights,11.0
Northview Heights,12.0
Garfield,13.0
Lincoln-Lemington-Belmar,14.0
East Liberty,15.0
Greenfield,16.0
Mt. Oliver Borough,17.0
Homewood South,18.0
Marshall-Shadeland,19.0
Perry South,20.0
Highland Park,21.0
Mount Washington,22.0
Terrace Village,23.0
Perry North,24.0
Stanton Heights,25.0
Squirrel Hill North,26.0
Point Breeze,27.0
Wilkinsburg Borough,28.0
Allentown,29.0
Westwood,30.0
Overbrook,31.0
Bloomfield,32.0
Larimer,33.0
Beltzhoover,34.0
Spring Hill-City View,35.0
Lincoln Place,36.0
Elliott,37.0
Middle Hill,38.5
Crawford-Roberts,38.5
Bedford Dwellings,40.0
Shadyside,41.0
Arlington,42.0
Morningside,43.0
South Side Slopes,44.0
Banksville,45.0
Manchester,46.0
Central Northside,47.0
Upper Hill,48.0
Troy Hill,49.0
Central Lawrenceville,50.0
Point Breeze North,51.0
Homewood West,52.0
California-Kirkbride,53.0
Upper Lawrenceville,54.0
Windgap,55.0
South Side Flats,56.0
Fineview,57.0
Fairywood,58.0
Lower Lawrenceville,59.0
Allegheny Center,60.0
Duquesne Heights,61.0
South Oakland,62.0
East Allegheny,63.5
Mount Oliver,63.5
Glen Hazel,65.0
Spring Garden,66.0
Oakwood,67.0
New Homestead,68.0
Bon Air,69.0
Friendship,70.5
West Oakland,70.5
Summer Hill,72.0
Bluff,73.5
Hays,73.5
Swisshelm Park,75.0
Polish Hill,76.0
Regent Square,77.0
Arlington Heights,78.0
West End,79.0
Chartiers City,80.0
Saint Clair,81.0
East Carnegie,82.0
